kW,kVAr
146.2961616,44.27383838
186.1177953,57.56220472
169.0495304,51.86746957
179.1373438,62.22665625
156.9631304,57.92686957
154.208018,54.53698198
135.7756701,47.1443299
122.6095238,38.31547619
123.547759,36.67824096
120.4104578,38.22554217
116.9194625,36.4175375
101.6294795,35.75852055
92.31714286,36.92685714
85.99456716,36.59343284
105.8006582,40.83534177
137.4935856,63.31941441
127.0774286,70.59857143
164.107482,83.83751799
192.2234286,87.04457143
187.0298182,89.91818182
183.4527417,88.12925828
237.9066464,95.90035359
204.7122,87.7338
197.2588415,96.83615854
239.4369045,102.4850955
209.9970286,96.08497137
192.2749024,99.69809756
177.5320261,94.09197386
182.9490789,89.68092105
210.091787,95.99021302
226.7336497,96.91035028
227.2367791,90.52522093
198.1637103,72.90928966
218.9775128,75.50948718
176.1795,63.7245
169.730288,63.415712
140.5971321,55.49886792
153.3832845,60.98371552
154.5578411,49.61115888
169.9982456,50.22675439
204.91575,68.30525
232.9343727,74.46262733
184.844544,55.838456
182.6352016,55.75179839
221.5562317,83.78176829
240.7154696,94.43453039
216.0348214,91.54017857
174.7702587,82.88074126
234.7501774,103.7268226
258.615855,108.215145
280.5077934,112.5722066
229.4653955,95.45760452
226.4546703,103.2633297
236.4696457,89.37435429
171.1337638,65.10523622
163.316459,63.09954098
161.9041,61.4119
153.4256607,56.13133929
143.175,45.816
141.4670792,49.04192079
127.9183478,45.14765217
117.8958222,47.89517778
166.9573802,60.02961983
205.2182323,81.34776774
222.3406842,91.87631579
224.0378983,98.35810169
194.7036226,91.94337736
197.7611043,95.28489571
210.0291207,102.3218793
247.28625,104.40975
199.9426415,89.06535849
232.1950867,89.16291329
242.9013483,89.68665169
177.9314225,79.88757746
246.0555928,107.5354072
196.774,98.387
201.4408696,90.73913043
227.6083333,100.1476667
269.3096268,113.5863732
244.2960778,91.37792222
211.6915584,76.80844156
190.3290857,70.90691429
184.6342857,73.85371429
179.6490296,70.37797037
180.4969846,63.92601538
180.4280325,55.66396748
165.5699643,50.05603571
188.02868,54.27632
187.5573529,67.52064706
223.8574783,79.00852174
246.0929885,83.29301149
225.2260123,80.70598773
245.8259157,88.19708427
258.4733958,98.55460417
230.9270279,97.13597207
176.822625,82.998375
267.4782877,118.2727123
284.7615044,128.7774956
284.7615044,128.7774956
295.1473133,129.3546867
310.3224511,123.7595489
216.5741779,85.14882209
265.6512577,97.28074227
198.6506546,76.35634537
220.1277771,86.94122289
200.9803268,81.1296732
202.4262581,82.81074194
188.3505646,80.46043537
165.5682059,79.18479412
161.8514172,66.33758277
162.5195455,75.84245455
208.5865868,94.31741317
205.43275,97.31025
209.5363029,103.8726971
224.1989963,103.3370037
214.63724,101.00576
215.885689,86.72331098
221.5562317,83.78176829
242.9112258,99.37277419
193.7289872,88.71701282
176.2986207,84.55137931
155.796801,67.49319899
205.9665988,95.7564012
277.7258638,114.0331362
245.1891309,104.2968691
250.7388962,91.68810383
223.0691728,80.60482716
203.8512148,74.80778523
194.5592466,75.97075342
146.6120014,67.10899859
154.1647059,64.23529412
115.1507,49.3503
122.8492088,46.53379121
156.3727411,54.63625893
190.5327907,57.7372093
187.5573529,67.52064706
207.4418688,86.28113125
208.2793988,89.52360123
199.0528654,85.83013462
256.3375288,98.4484712
266.3876341,110.2293659
257.8139086,104.9670914
237.2409231,97.47107692
179.3711409,87.89185906
215.7339306,97.89606936
227.3631591,95.34584091
236.6051579,84.50184211
232.2916213,84.2993787
186.5173692,60.90363077
211.7811804,72.0688196
224.669025,77.406975
213.8470839,76.90991613
195.7150365,64.6049635
167.254906,55.11809402
162.8907304,54.92826957
132.8256289,48.64037113
109.8691333,52.23286667
119.6182178,60.70178218
141.5606356,69.88436441
238.147732,111.857268
234.0453646,111.6216354
202.5668621,106.6141379
197.8654286,101.6065714
227.9641304,104.9358696
212.1602294,96.10677059
264.5050962,114.9229038
226.8914516,108.0435484
252.3228426,107.8771574
251.4889227,104.6340773
228.2101955,98.58680447
180.816116,89.66088398
205.5927546,90.9702454
173.2825274,87.5344726
190.2656933,99.57830675
258.8492941,113.0187059
252.1424663,103.0655337
206.643549,78.18945098
219.5361509,78.80784906
134.2181818,50.33181818
37.94220779,156.8277922
106.292908,50.44409195
158.9526147,49.79238532
213.9796454,60.30335461
179.1373438,62.22665625
166.9581938,69.7188062
206.643549,78.18945098
196.0153125,72.8056875
193.1402778,74.28472222
183.3161972,76.99280282
225.1012994,85.5757006
223.0691728,80.60482716
180.403087,73.63391304
235.9613315,100.6036685
232.6714811,103.6115189
252.3228426,107.8771574
279.6881704,125.3148296
252.79,96.655
218.1333373,91.65266272
200.5341772,87.50582278
178.9592941,71.95270588
190.3290857,70.90691429
155.6286777,65.91332231
146.2756818,57.39931818
128.5332,48.4328
98.6297561,48.4182439
121.3664093,49.77559066
139.5590625,63.4359375
139.0647458,71.31525424
185.4996118,88.24738816
197.7611043,95.28489571
226.4546703,103.2633297
184.0158129,92.9011871
195.2407595,90.38924051
208.5865868,94.31741317
211.6575,86.5035
205.5927546,90.9702454
190.7228289,85.37117105
200.2392,77.8708
180.403087,73.63391304
162.6154146,64.67658537
166.9573802,60.02961983
199.5418013,79.44719868
213.0216875,83.3563125
195.9868378,77.65516216
183.2504925,67.31650746
91.98768,43.28832
99.13987654,46.86612346
100.176,50.088
129.4246471,56.50935294
191.7301479,72.59685211
190.3103819,75.75461806
227.7410774,94.04692264
206.1901235,89.40987654
194.2954323,87.16056774
234.4751247,94.88487535
241.465038,97.69196196
263.646439,111.683561
258.256439,114.578561
208.0024382,101.1415618
176.40084,90.87316
191.4495198,95.12648017
220.2352941,91.76470588
257.982412,95.11158803
239.3791163,92.66288372
237.337028,92.46897196
222.2529341,87.04906587
208.6148915,78.46410846
198.3829787,68.01702128
148.5996501,52.55734992
179.9666535,60.62034646
138.5966063,50.45539374
168.8832262,70.00977378
187.3726103,72.47138975
144.1077966,68.45120339
116.5175258,57.36247423
116.142585,52.49041503
178.9754535,83.0205465
131.0247561,64.3212439
110.2435409,57.20745907
161.7330362,61.58296379
174.7326493,71.73235075
139.9494578,62.06454217
116.5175258,57.36247423
137.7853779,68.29362209
109.3923693,60.31363066
125.3814492,69.03355083
150.470467,68.61453297
164.2140934,61.34790659
164.2140934,61.34790659
184.190625,65.559375
175.5006645,65.23033548
106.3893595,50.34764054
127.9453,54.8337
108.3463636,50.56163636
92.8210515,46.7099485
102.0093701,50.40462992
137.1721963,58.52680374
152.8870739,62.37792614
151.5065421,51.13345794
171.1980326,60.31196744
157.8187664,56.25223358
150.4519151,57.69908495
178.1417817,68.77821832
