kW,kVAr
318.5507246,144.057971
318.5507246,144.057971
328.6956522,144.057971
340.8695652,135.942029
237.3913043,93.33333333
288.115942,105.5072464
216.4251208,83.1884058
241.4492754,95.36231884
221.1594203,89.27536232
223.1884058,91.30434783
208.9855072,89.27536232
186.6666667,89.27536232
178.2125604,73.04347826
182.6086957,85.2173913
233.3333333,105.5072464
231.3043478,109.5652174
237.3913043,117.6811594
250.9178744,115.6521739
241.4492754,113.6231884
237.3913043,95.36231884
241.4492754,91.30434783
267.826087,109.5652174
217.1014493,99.42028986
198.8405797,95.36231884
187.3429952,81.15942029
231.3043478,107.5362319
306.3768116,125.7971014
271.884058,115.6521739
271.884058,99.42028986
241.4492754,87.24637681
221.1594203,81.15942029
213.0434783,83.1884058
164.0096618,75.07246377
170.4347826,71.01449275
127.826087,54.7826087
133.9130435,50.72463768
168.4057971,58.84057971
200.8695652,60.86956522
202.8985507,73.04347826
229.2753623,95.36231884
231.3043478,99.42028986
221.1594203,95.36231884
280,107.5362319
294.2028986,121.7391304
284.057971,115.6521739
261.7391304,107.5362319
202.8985507,99.42028986
241.4492754,109.5652174
251.5942029,105.5072464
255.6521739,91.30434783
251.5942029,91.30434783
198.8405797,64.92753623
226.5700483,77.10144928
241.4492754,83.1884058
231.3043478,83.1884058
208.9855072,68.98550725
178.5507246,58.84057971
174.4927536,58.84057971
144.057971,52.75362319
123.7681159,58.84057971
135.942029,68.98550725
160.2898551,79.13043478
267.826087,125.7971014
263.7681159,125.7971014
231.3043478,121.7391304
225.2173913,115.6521739
255.6521739,117.6811594
237.3913043,107.5362319
294.2028986,127.826087
255.6521739,121.7391304
280,119.7101449
277.9710145,115.6521739
253.6231884,109.5652174
204.589372,101.4492754
229.2753623,101.4492754
196.8115942,99.42028986
217.1014493,113.6231884
288.115942,125.7971014
277.9710145,113.6231884
225.2173913,85.2173913
237.3913043,85.2173913
146.0869565,54.7826087
15.2173913,62.89855072
119.7101449,56.8115942
168.4057971,52.75362319
223.1884058,62.89855072
192.7536232,66.95652174
184.6376812,77.10144928
225.2173913,85.2173913
213.0434783,79.13043478
211.0144928,81.15942029
202.8985507,85.2173913
245.5072464,93.33333333
241.4492754,87.24637681
198.8405797,81.15942029
261.7391304,111.5942029
259.7101449,115.6521739
280,119.7101449
312.4637681,140
275.942029,105.5072464
241.4492754,101.4492754
223.1884058,97.39130435
196.8115942,79.13043478
206.9565217,77.10144928
172.4637681,73.04347826
160.2898551,62.89855072
140,52.75362319
111.5942029,54.7826087
133.5748792,54.7826087
156.2318841,71.01449275
158.2608696,81.15942029
208.9855072,99.42028986
223.1884058,107.5362319
253.6231884,115.6521739
208.9855072,105.5072464
219.1304348,101.4492754
233.3333333,105.5072464
233.3333333,95.36231884
229.2753623,101.4492754
213.0434783,95.36231884
219.1304348,85.2173913
198.8405797,81.15942029
178.5507246,71.01449275
180.5797101,64.92753623
219.1304348,87.24637681
233.3333333,91.30434783
215.0724638,85.2173913
198.8405797,73.04347826
103.4782609,48.69565217
111.5942029,52.75362319
113.6231884,56.8115942
144.057971,62.89855072
208.9855072,79.13043478
208.9855072,83.1884058
250.5797101,103.4782609
229.2753623,99.42028986
217.1014493,97.39130435
260.7246377,105.5072464
265.7971014,107.5362319
292.173913,123.7681159
288.115942,127.826087
233.6714976,113.6231884
200.8695652,103.4782609
216.4251208,107.5362319
243.4782609,101.4492754
280.6763285,103.4782609
262.0772947,101.4492754
260.3864734,101.4492754
243.4782609,95.36231884
226.5700483,85.2173913
213.0434783,73.04347826
160.6280193,56.8115942
192.7536232,64.92753623
150.4830918,54.7826087
185.9903382,77.10144928
204.589372,79.13043478
162.3188406,77.10144928
131.884058,64.92753623
